departamento,ciudad,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Tolima,Chaparral,0,0,0,0,2,1,5,5,2,3,5,5,3,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,40
La Guajira,San Juan del César,0,0,0,1,0,0,3,3,11,4,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40
Valle del Cauca,Jamundí,0,0,0,0,1,1,12,2,11,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,40
Antioquia,El Bagre,0,0,0,1,0,0,0,3,5,7,1,3,0,0,0,0,2,0,1,0,0,0,9,0,1,0,0,1,3,1,2,40
Cauca,Patía,0,0,0,0,0,0,3,3,15,4,4,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,39
Caldas,Riosucio,0,0,0,0,0,0,5,6,5,14,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Norte de Santander,Ocaña,0,0,0,1,0,1,4,9,2,8,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,5,0,39
Meta,La Macarena,0,0,0,0,0,0,0,0,9,3,2,1,5,2,3,3,3,2,0,0,0,0,0,0,1,2,2,1,0,0,0,39
Bolívar,Santa Rosa del Sur,0,0,0,0,0,0,5,6,2,1,1,0,1,1,1,3,0,0,0,0,0,0,0,1,0,2,1,0,0,8,6,39
Putumayo,Valle del Guamuez,0,0,0,0,2,5,7,1,5,3,7,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,39
Caquetá,El Doncello,0,0,0,1,0,1,5,2,16,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
Antioquia,Turbo,0,4,1,4,0,4,8,3,0,2,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,36
Risaralda,Dosquebradas,0,0,0,0,0,0,0,0,2,5,8,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Valle del Cauca,Florida,0,0,1,0,0,0,0,5,13,2,6,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
