departamento,municipio,mine_count,mine_incidents,demining_count,matched
CASANARE,LA SALINA,18,3,15,True
CASANARE,MANÍ,0,0,0,True
CASANARE,MONTERREY,3,0,3,True
CASANARE,NUNCHÍA,6,0,6,True
CASANARE,PAZ DE ARIPORO,12,2,10,True
CASANARE,PORE,1,0,1,True
CASANARE,RECETOR,6,0,6,True
CASANARE,SABANALARGA,1,0,1,True
CASANARE,SÁCAMA,37,10,27,True
CASANARE,TAURAMENA,15,4,11,True
CASANARE,TRINIDAD,3,0,3,True
CASANARE,TÁMARA,16,3,13,True
CASANARE,VILLANUEVA,0,0,0,True
CASANARE,YOPAL,20,4,16,True
CAUCA,ALMAGUER,4,1,3,True
CAUCA,ARGELIA,340,63,277,True
CAUCA,BALBOA,119,16,103,True
CAUCA,BOLÍVAR,11,7,4,True
CAUCA,BUENOS AIRES,33,8,25,True
CAUCA,CAJIBÍO,38,10,28,True
CAUCA,CALDONO,80,8,72,True
CAUCA,CALOTO,118,18,100,True
CAUCA,CORINTO,147,15,132,True
CAUCA,EL TAMBO,242,66,176,True
CAUCA,FLORENCIA,1,1,0,True
CAUCA,GUACHENE,12,0,12,False
CAUCA,GUAPI,12,2,10,True
CAUCA,INZÁ,32,1,31,True
CAUCA,JAMBALÓ,79,8,71,True
CAUCA,LA SIERRA,4,2,2,True
CAUCA,LA VEGA,9,7,2,True
CAUCA,LÓPEZ,23,7,16,True
CAUCA,MERCADERES,6,2,4,True
CAUCA,MIRANDA,122,19,103,True
CAUCA,MORALES,47,2,45,True
CAUCA,PADILLA,2,0,2,True
CAUCA,PATÍA,80,16,64,True
CAUCA,PIAMONTE,28,2,26,True
CAUCA,PIENDAMÓ,12,2,10,True
CAUCA,POPAYÁN,10,4,6,True
CAUCA,PUERTO TEJADA,2,0,2,True
CAUCA,PURACÉ,14,7,7,True
CAUCA,PÁEZ,65,11,54,True
CAUCA,ROSAS,2,0,2,True
CAUCA,SAN SEBASTIÁN,24,9,15,True
CAUCA,SANTA ROSA,50,25,25,True
CAUCA,SANTANDER DE QUILICHAO,29,6,23,True
CAUCA,SILVIA,22,3,19,True
CAUCA,SOTARÁ,1,0,1,True
CAUCA,SUCRE,2,0,2,True
CAUCA,SUÁREZ,182,15,167,True
CAUCA,TIMBIQUÍ,3,0,3,True
CAUCA,TIMBÍO,2,0,2,True
CAUCA,TORIBÍO,151,22,129,True
CAUCA,TOTORÓ,7,1,6,True
CAUCA,VILLA RICA,2,0,2,True
CESAR,AGUACHICA,19,5,14,True
CESAR,AGUSTÍN CODAZZI,28,2,26,True
CESAR,BECERRIL,11,2,9,True
CESAR,BOSCONIA,0,0,0,True
CESAR,CHIMICHAGUA,2,0,2,True
CESAR,CHIRIGUANÁ,7,0,7,True
CESAR,CURUMANÍ,19,6,13,True
CESAR,EL COPEY,7,3,4,True
CESAR,EL PASO,1,0,1,True
CESAR,GAMARRA,3,0,3,True
CESAR,GONZÁLEZ,2,0,2,True
CESAR,LA GLORIA,11,0,11,True
CESAR,LA JAGUA DE IBIRICO,21,8,13,True
CESAR,LA PAZ,24,1,23,True
CESAR,MANAURE BALCÓN DEL CESAR,9,1,8,False
CESAR,PAILITAS,24,10,14,True
CESAR,PELAYA,15,7,8,True
CESAR,PUEBLO BELLO,9,5,4,True
CESAR,RÍO DE ORO,5,0,5,True
CESAR,SAN ALBERTO,4,1,3,True
CESAR,SAN DIEGO,12,0,12,True
CESAR,SAN MARTÍN,6,4,2,True
CESAR,TAMALAMEQUE,1,0,1,True
CESAR,VALLEDUPAR,29,10,19,True
CHOCO,ACANDÍ,6,3,3,True
CHOCO,ALTO BAUDÓ,40,5,35,True
CHOCO,BAGADÓ,10,3,7,True
CHOCO,BAHÍA SOLANO,7,3,4,True
CHOCO,BAJO BAUDÓ,38,4,34,True
CHOCO,BOJAYÁ,26,8,18,True
CHOCO,CERTEGUI,1,1,0,True
CHOCO,CONDOTO,3,0,3,True
CHOCO,EL CANTÓN DEL SAN PABLO,2,1,1,True
CHOCO,EL CARMEN DEL ATRATO,35,8,27,False
CHOCO,EL CARMEN DEL DARIEN,30,8,22,True
CHOCO,ISTMINA,37,13,24,True
CHOCO,JURADÓ,13,5,8,True
CHOCO,LITORAL DEL SAN JUAN,27,3,24,True
CHOCO,LLORÓ,6,2,4,True
CHOCO,MEDIO ATRATO,9,1,8,True
CHOCO,MEDIO BAUDÓ,5,1,4,True
CHOCO,MEDIO SAN JUAN,25,5,20,True
CHOCO,NUEVO BELEN DE BAJIRA,13,3,10,False
CHOCO,NUQUÍ,9,2,7,True
CHOCO,NÓVITA,36,12,24,True
CHOCO,QUIBDÓ,51,11,40,True
CHOCO,RIO IRÓ,10,5,5,True
CHOCO,RIO QUITO,3,1,2,True
CHOCO,RIOSUCIO,67,20,47,True
CHOCO,SAN JOSÉ DEL PALMAR,40,8,32,True
CHOCO,SIPÍ,29,5,24,True
CHOCO,TADÓ,55,13,42,True
CHOCO,UNGUÍA,19,13,6,True
CORDOBA,CIÉNAGA DE ORO,2,2,0,True
